Name,Interaction,Quality,Attack,Defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Points,,Attack multiplier,5,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,,defense,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,df,,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6
Dwarf Master Assassin,61,3,2,6,"Assassin Level 3 - P, R2",Stealth - P,Resilient - L,Extra Lives x2 - L,,,107,,,,,21,3,12,20,0,0,,6,1,1,1,3,1,1,18,,21,3,12,0,0,0
Dwarf Rangers,#N/A,3,3,6,Ranger,Forester,Mountaineer,Extra Lives x2 - L,,,66,,,,,-14,5,3,20,0,0,,6,#N/A,1,1,3,1,1,#N/A,,#N/A,5,3,0,0,0
Dwarven Ornithopter or Helicopter,39,3,1,7,Difficult Target,Flying - L,Fast,Shooters 2 - L,,,92,,,,,5,18,4,16,0,0,,7,1,1,1,1,1,1,7,,5,18,4,16,0,0
Heavy Ornithopter or Helicopter,38,4,1,7,Flying - L,Shooters 2 - L,Tough - L,,,,82,,,,,18,16,24,0,0,0,,7,1,1,1,1,1,1,7,,18,16,24,0,0,0
Snow Dwarves,13,4,1,5,Slow,Snow-Walk,Skirmishers,Mountaineer,,,33,,,,,-1,2,5,3,0,0,,3,1,1,1,1,1,1,3,,-1,2,5,3,0,0
Dwarven Miners,15,4,1,6,Burrowing,Slow,,,,,31,,,,,3,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,3,-1,0,0,0,0
Dwarven Civilians,10,5,1,6,Slow,,,,,,19,,,,,-1,0,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,0,0,0,0,0
Dwarven Engineers,18,4,2,6,Slow,Engineers - L,,,,,36,,,,,-1,4,0,0,0,0,,6,1,1,1,1,1,1,6,,-1,4,0,0,0,0
Dwarven Engineers with grenades,#N/A,4,2,6,Slow,Engineers - L,Grenades,,,,41,,,,,-1,4,6,0,0,0,,6,1,1,#N/A,1,1,1,#N/A,,-1,4,#N/A,0,0,0
Dwarf Automaton,41,4,3,7,Artificial,"Monster Level 2 - L, R3",Tough - L,,,,93,,,,,3,35,24,0,0,0,,7,1,1,1,1,1,1,7,,3,35,24,0,0,0
Dwarf Small Automaton,31,4,3,7,Artificial,Tough - L,,,,,64,,,,,3,24,0,0,0,0,,7,1,1,1,1,1,1,7,,3,24,0,0,0,0
Dwarf Giant Automaton,63,4,4,8,Artificial,Giant Level 3- L,Tough - L,Extra Lives x4 - P,,,168,,,,,3,35,24,80,0,0,,8,1,1,1,1,1,1,8,,3,35,24,80,0,0
Dwarf Runic Golem,98,3,3,7,Artificial,Giant Level 3- L,Tough - L,Extra Lives x3 - L,Talisman vs. Fey Creatures -P,,173,,,,,3,35,24,40,4,0,,7,1,1,1,4,1,1,28,,3,35,24,0,4,0
Dwarf Knights on Hogs,29,3,3,7,Mounted – L,Fearless,,,,,68,,,,,6,5,0,0,0,0,,7,1,1,1,1,1,1,7,,6,5,0,0,0,0
Mountain Giant,57,4,4,7,Mountaineer,Giant Level 3- L,Extra Lives x4 - P,Resilient - L,,,154,,,,,3,35,80,12,0,0,,7,1,1,1,1,1,1,7,,3,35,80,12,0,0
Dwarven Hero on Ram,59,3,3,6,Mountaineer,Mounted – L,Fast,Devastating Charge - L,Hero - P,Extra Lives x2 - L,103,,,,,3,6,4,7,8,20,,6,1,1,1,1,1,3,18,,3,6,4,7,8,0
Dwarven Druid,22,3,1,5,Spell-Caster - P,Slow,Spell: Alter Terrain,Spell: Eagle's Eyes,Spell: Windstorm,Spell: Summon Monster,68,,,,,10,-1,5,3,4,10,,3,1,1,1,1,1,1,3,,10,-1,5,3,4,10
Apprentice Druid,16,4,1,5,Spell-Caster - P,Slow,Spell: Alter Terrain,Spell: Windstorm,,,40,,,,,10,-1,5,4,0,0,,3,1,1,1,1,1,1,3,,10,-1,5,4,0,0
Dwarven Giant Bat Riders,26,4,1,6,Flying - L,Difficult Target,Shooters 0 - L,,,,53,,,,,18,5,5,0,0,0,,6,1,1,1,1,1,1,6,,18,5,5,0,0,0
Dwarven Griffin Riders,32,4,1,6,Flying - L,Devastating Charge - L,Savage - L,Resilient - L,,,68,,,,,18,7,9,12,0,0,,6,1,1,1,1,1,1,6,,18,7,9,12,0,0
Dwarven Grenadiers,#N/A,4,1,5,Shooters 2 - L,Slow,Skirmishers,Grenades,,,47,,,,,16,-1,5,6,0,0,,3,1,1,1,#N/A,1,1,#N/A,,16,-1,5,#N/A,0,0
Mechanical Sappers,27,4,1,6,Tough - L,Artificial,Engineers - L,,,,55,,,,,24,3,4,0,0,0,,6,1,1,1,1,1,1,6,,24,3,4,0,0,0
Runic Altar,#N/A,4,2,7,Spell-Caster - P,Slow,Spell: Armor,Spell: Meteor Storm,Tough - L,Unique,76,Extra Lives x2 – L,,,,10,-1,5,4,24,4,,7,1,1,1,1,1,#N/A,#N/A,,10,-1,5,4,24,#N/A
Dwarven Armored Chariot,#N/A,4,2,9,"Chariot level 6 – P, R2",Slow,Tough - L,Extra Lives x3 - L,,,115,,,,,20,-1,24,40,0,0,,9,#N/A,1,1,4,1,1,#N/A,,#N/A,-1,24,0,0,0
Runic Altar Guards,,3,2,7,Steadfast,Slow,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwarven High Priest,34,3,2,6,Spell-Caster - P,Slow,Spell: Blessing,Spell: Curse,Spell: Futuresight,High Priest - P,80,,,,,10,-1,4,5,5,9,,6,1,1,1,1,1,1,6,,10,-1,4,5,5,9
Dwarven Clerics,13,4,2,5,"Slayers - L, R3",Slow,,,,,33,,,,,5,-1,0,0,0,0,,3,1,1,1,1,1,1,3,,5,-1,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNOMES  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gnome Warriors,14,4,1,5,Forester,Ambushers - L,Difficult Target,,,,36,,,,,5,3,5,0,0,0,,3,1,1,1,1,1,1,3,,5,3,5,0,0,0
Gnome Archers,18,4,1,5,Forester,Shooters 1 - L,Difficult Target,Skirmishers,,,46,,,,,5,10,5,5,0,0,,3,1,1,1,1,1,1,3,,5,10,5,5,0,0
Gnome Highwaymen,15,4,1,5,Forester,Highwaymen – R2,Skirmishers,,,,38,,,,,5,5,5,0,0,0,,3,1,1,1,1,1,1,3,,5,5,5,0,0,0
Gnome Highwaymen with Handguns or crossbows,19,4,1,5,Forester,Highwaymen – R2,Skirmishers,Shooters 2 - L,,,51,,,,,5,5,5,16,0,0,,3,1,1,1,1,1,1,3,,5,5,5,16,0,0
Gnome Miners,17,4,0,6,Burrowing,Slow,Difficult Target,Skirmishers,,,35,,,,,3,-1,5,5,0,0,,6,1,1,1,1,1,1,6,,3,-1,5,5,0,0
Gnome Treasure Hunters,16,4,1,5,"Adventuring Party - L1, R1",Difficult Target,Ambushers - L,,,,40,,,,,10,5,3,0,0,0,,3,1,1,1,1,1,1,3,,10,5,3,0,0,0
Gnome Shield Maidens,21,4,1,6,Shieldwall,Slow,Difficult Target,Devastating Charge - L,,,42,,,,,4,-1,5,7,0,0,,6,1,1,1,1,1,1,6,,4,-1,5,7,0,0
Gnome Hare Riders,21,4,0,6,Mounted – L,Fast,Difficult Target,Skirmishers,,,42,,,,,6,4,5,5,0,0,,6,1,1,1,1,1,1,6,,6,4,5,5,0,0
Gnome Hare Chariot,23,3,0,6,Chariot level 2 - L,Fast,Shooters 0 - L,Skirmishers,,,53,,,,,4,4,5,5,0,0,,6,1,1,1,1,1,1,6,,4,4,5,5,0,0
Gnome Hero,34,3,2,5,Forester,Hero - P,Difficult Target,Extra Lives x2 - L,,,81,,,,,5,8,5,20,0,0,,3,1,1,1,3,1,1,9,,5,8,5,0,0,0
Gnome Hero on Hare,39,3,2,5,Forester,Hero - P,Difficult Target,Extra Lives x2 - L,Mounted – L,Fast,92,,,,,5,8,5,20,6,4,,3,1,1,1,3,1,1,9,,5,8,5,0,6,4
Gnomes Smoke Grenadiers,#N/A,4,1,5,Grenades,Poisoned Missiles L,Difficult Target,Skirmishers,,,42,,,,,6,4,5,5,0,0,,3,#N/A,"1,5",1,1,1,1,#N/A,,#N/A,0,5,5,0,0
Gnome Small Flying Automaton,29,4,3,7,Artificial,Flying - L,,,,,59,,,,,3,18,0,0,0,0,,7,1,1,1,1,1,1,7,,3,18,0,0,0,0
Gnome Small Flying Mechanical Animals,24,4,3,7,Artificial,Flying - L,Rabble,,,,48,,,,,3,18,-14,0,0,0,,7,1,1,1,1,1,1,7,,3,18,-14,0,0,0
Gnomes with Poisoned Javelins,16,4,1,5,Difficult Target,Shooters 0 - L,Poisoned Missiles L,,,,37,,,,,5,5,4,0,0,0,,3,1,1,"1,5",1,1,1,"4,5",,5,5,0,0,0,0
Gnome Artillery with Gas Bombs,18,4,1,5,Artillery level 2 – L,Plague Projectiles,,,,,46,,,,,20,5,0,0,0,0,,3,1,1,1,1,1,1,3,,20,5,0,0,0,0
Gnome King,57,3,2,7,"General – P, R1",Resilient - L,Extra Lives x2 - L,,,,99,,,,,12,12,20,0,0,0,,7,1,1,3,1,1,1,21,,12,12,0,0,0,0
Gnome Champion,29,3,2,6,Champion - P,Resilient - L,Fearless,,,,68,,,,,4,12,5,0,0,0,,6,1,1,1,1,1,1,6,,4,12,5,0,0,0
Gnome Forest Guide,#N/A,3,2,5,Forester,Resilient - L,Ranger -P,Extra Lives x2 - L,,,86,,,,,5,12,5,20,0,0,,3,1,1,#N/A,3,1,1,#N/A,,5,12,#N/A,0,0,0
Gnome Bodyguard,21,3,2,5,Forester,Resilient - L,Bodyguards - L,,,,63,,,,,5,12,5,0,0,0,,3,1,1,1,1,1,1,3,,5,12,5,0,0,0
Gnome Cannon,,3,2,7,Artillery level 2 – L,Fear Projectiles,,,,,81,,,,,20,8,0,0,0,0,,,,,,,,,,,,,,,,
Gnome Spore Catapult,,3,2,7,Artillery level 3 - L,Plague Projectiles,,,,,100,,,,,40,5,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUMANS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Infantry,#DIV/0!,4,2,5,,,,,,,29,,,,,0,0,0,0,0,0,,3,1,1,1,1,1,1,3,,0,0,0,0,0,0
Human Light Infantry,#DIV/0!,4,1,4,Skirmishers,,,,,,25,,,,,5,0,0,0,0,0,,2,1,1,1,1,1,1,2,,5,0,0,0,0,0
Human Rabble Infantry,#NUM!,4,1,4,Rabble,"Expendable - L, R4",,,,,9,,,,,-14,0,0,0,0,0,,2,1,2,1,1,1,1,4,,-14,0,0,0,0,0
Human Elite Infantry,#DIV/0!,3,2,6,,,,,,,44,,,,,0,0,0,0,0,0,,6,1,1,1,1,1,1,6,,0,0,0,0,0,0
Human Heavy Infantry,#DIV/0!,4,2,7,,,,,,,38,,,,,0,0,0,0,0,0,,7,1,1,1,1,1,1,7,,0,0,0,0,0,0
Human Heavy Infantry with Heavy weapons,#DIV/0!,4,2,6,Savage - L,,,,,,41,,,,,9,0,0,0,0,0,,6,1,1,1,1,1,1,6,,9,0,0,0,0,0
Human Slingers,#DIV/0!,4,1,5,Shooters 0 - L,Skirmishers,,,,,33,,,,,5,5,0,0,0,0,,3,1,1,1,1,1,1,3,,5,5,0,0,0,0
Human Archers,#DIV/0!,4,1,5,Shooters 2 - L,Skirmishers,,,,,43,,,,,16,5,0,0,0,0,,3,1,1,1,1,1,1,3,,16,5,0,0,0,0
Human Armored Archers,#DIV/0!,4,1,6,Shooters 2 - L,,,,,,43,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
Human Crossbowmen,#DIV/0!,4,1,5,Shooters 2 - L,,,,,,38,,,,,16,0,0,0,0,0,,3,1,1,1,1,1,1,3,,16,0,0,0,0,0
Human Armored Crossbowmen,#DIV/0!,4,1,6,Shooters 2 - L,Slow,,,,,42,,,,,16,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,16,-1,0,0,0,0
Elite Crossbowmen,25,3,1,6,Shooters 2 - L,,,,,,57,,,,,16,0,0,0,0,0,,6,1,1,1,1,1,1,6,,16,0,0,0,0,0
"Elite Crossbowmen, Armored",26,3,1,7,Shooters 2 - L,Slow,,,,,61,,,,,16,-1,0,0,0,0,,7,1,1,1,1,1,1,7,,16,-1,0,0,0,0
Human Elite Armored Crossbowmen,#DIV/0!,3,1,6,Shooters 2 - L,Slow,,,,,56,,,,,16,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,16,-1,0,0,0,0
Human Pikemen,#DIV/0!,4,2,5,Pikes,,,,,,34,,,,,6,0,0,0,0,0,,3,1,1,1,1,1,1,3,,6,0,0,0,0,0
Human Armored Pikemen,#DIV/0!,4,2,6,Pikes,Slow,,,,,38,,,,,6,-1,0,0,0,0,,6,1,1,1,1,1,1,6,,6,-1,0,0,0,0
Human Elite Armored Pikemen,#DIV/0!,4,2,6,Pikes,Slow,Drilled - L,Steadfast,,,48,,,,,6,-1,8,5,0,0,,6,1,1,1,1,1,1,6,,6,-1,8,5,0,0
Human Mountain Troops,#DIV/0!,4,2,5,Mountaineer,Snow-Walk,,,,,33,,,,,3,2,0,0,0,0,,3,1,1,1,1,1,1,3,,3,2,0,0,0,0
Human Mob,#NUM!,4,1,5,Rabble,Horde,,,,,14,,,,,-14,1,0,0,0,0,,3,1,1,1,1,1,1,3,,-14,1,0,0,0,0
Villagers,#NUM!,4,1,4,Rabble,,,,,,9,,,,,-14,0,0,0,0,0,,2,1,1,1,1,1,1,2,,-14,0,0,0,0,0
Human Boatmen,9,4,1,4,Boat,,,,,,23,,,,,3,0,0,0,0,0,,2,1,1,1,1,1,1,2,,3,0,0,0,0,0
Human Messenger,10,4,1,4,Fast,Difficult Target,Reluctant,,,,27,,,,,4,5,-2,0,0,0,,2,1,1,1,1,1,1,2,,4,5,-2,0,0,0
Human Light Cavalry,15,4,1,5,Mounted – L,Fast,Skirmishers,,,,38,,,,,6,4,5,0,0,0,,3,1,1,1,1,1,1,3,,6,4,5,0,0,0
Human Light Horse Archers,19,4,2,5,Mounted – L,Fast,Skirmishers,Shooters 1 - L,,,50,,,,,6,4,5,10,0,0,,3,1,1,1,1,1,1,3,,6,4,5,10,0,0
Human Heavy Cavalry,19,4,2,6,Mounted – L,,,,,,38,,,,,6,0,0,0,0,0,,6,1,1,1,1,1,1,6,,6,0,0,0,0,0
Human Elite Heavy Cavalry,22,3,2,6,Mounted – L,,,,,,51,,,,,6,0,0,0,0,0,,6,1,1,1,1,1,1,6,,6,0,0,0,0,0
Human Heavy Cavalry with Lances,22,4,2,6,Mounted – L,Devastating Charge - L,,,,,44,,,,,6,7,0,0,0,0,,6,1,1,1,1,1,1,6,,6,7,0,0,0,0
Human Elite Knights with Lances,28,3,2,6,Mounted – L,Devastating Charge - L,Steadfast,,,,64,,,,,6,7,5,0,0,0,,6,1,1,1,1,1,1,6,,6,7,5,0,0,0
Human Airship with balllistas,#N/A,4,1,7,Airship,Artillery level 2 – L,Tough - L,Extra Lives x3 - L,Flying - L,Fast,130,,,,,10,20,24,40,18,4,,7,#N/A,1,1,4,1,1,#N/A,,#N/A,20,24,0,18,4
Human Heavy Airship with cannons,#N/A,4,1,7,Airship,Artillery level 4 – L,Tough - L,Extra Lives x4 - P,Flying - L,,210,,,,,10,80,24,80,18,0,,7,#N/A,1,1,1,1,1,#N/A,,#N/A,80,24,80,18,0
City Militia ,11,4,2,5,Reluctant,,,,,,28,,,,,-2,0,0,0,0,0,,3,1,1,1,1,1,1,3,,-2,0,0,0,0,0
City Militia with Bows,14,4,2,5,Reluctant,Shooters 1 - L,,,,,36,,,,,-2,10,0,0,0,0,,3,1,1,1,1,1,1,3,,-2,10,0,0,0,0
Human General,60,3,3,7,"General – P, R1",Extra Lives x3 - L,,,,,113,,,,,12,40,0,0,0,0,,7,1,4,1,1,1,1,28,,12,0,0,0,0,0
Dragon-Riding Knight,158,3,4,9,Flying - L,Devastating Charge - L,Dragon Breath level 2 - R3,"Monster Level 3 - L, R3",Tough - L,Extra Lives x3 - L,282,,,,,18,7,40,60,24,40,,9,1,1,1,1,1,4,36,,18,7,40,60,24,0
Small Cannon,21,4,1,5,Artillery level 3 - L,,,,,,58,,,,,40,0,0,0,0,0,,3,1,1,1,1,1,1,3,,40,0,0,0,0,0
Battle Wizard,20,3,1,5,Spell-Caster - P,Spell: Fireball,Spell: Lightning Bolt,,,,58,,,,,10,6,6,0,0,0,,3,1,1,1,1,1,1,3,,10,6,6,0,0,0
Human Light Chariot,24,4,1,6,Chariot level 2 - L,Fast,Skirmishers,Shooters 1 - L,,,48,,,,,4,4,5,10,0,0,,6,1,1,1,1,1,1,6,,4,4,5,10,0,0
Human Heavy Chariot,#N/A,4,2,6,Chariot level 3 - L,,Resilient - L,,,,49,,,,,7,0,12,0,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,0,12,0,0,0
Human Armored Chariot,#N/A,4,2,6,Chariot level 4 - L,Trample - L,Resilient - L,,,,58,,,,,10,7,12,0,0,0,,6,#N/A,1,1,1,1,1,#N/A,,#N/A,7,12,0,0,0
Human Turtle Chariot,#N/A,4,2,8,"Chariot level 5 – L, R3",Trample - L,Tough - L,Extra Lives x3 - L,Slow,,112,,,,,14,7,24,40,-1,0,,8,#N/A,1,1,4,1,1,#N/A,,#N/A,7,24,0,-1,0
Woodsman,#N/A,4,1,5,Ranger -P,Forester,,,,,33,,,,,5,5,0,0,0,0,0,3,#N/A,1,1,1,1,1,#N/A,,#N/A,5,0,0,0,0
,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,
LIZARDMEN  ,#N/A,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,#N/A,1,1,1,1,1,1,#N/A,,0,0,0,0,0,0
Lizardmen barbarians,17,4,2,6,Horde,,,,,,34,,,,,1,0,0,0,0,0,0,6,1,1,1,1,1,1,6,,1,0,0,0,0,0
Giant Lizardmen,54,4,3,6,Resilient - L,Extra Lives x2 - L,Giant Level 2 - L,,,,83,,,,,12,20,22,0,0,0,0,6,1,3,1,1,1,1,18,,12,0,22,0,0,0
Small Dinosaur,59,4,2,6,Tough - L,Extra Lives x3 - L,Savage - L,,,,94,,,,,24,40,9,0,0,0,0,6,1,4,1,1,1,1,24,,24,0,9,0,0,0
Lizardmen clubmen,16,4,2,6,,,,,,,33,,,,,0,0,0,0,0,0,0,6,1,1,1,1,1,1,6,,0,0,0,0,0,0
Lizardman Infantry,16,4,2,6,,,,,,,33,,,,,0,0,0,0,0,0,0,6,1,1,1,1,1,1,6,,0,0,0,0,0,0
Lizardmen Javelineers,14,4,1,5,Shooters 0 - L,Poisoned Missiles L,,,,,33,,,,,5,4,0,0,0,0,0,3,1,"1,5",1,1,1,1,"4,5",,5,0,0,0,0,0
Lizardmen Shooters,13,4,1,5,Shooters 1 - L,,,,,,33,,,,,10,0,0,0,0,0,0,3,1,1,1,1,1,1,3,,10,0,0,0,0,0
Poison Throwing Cannon,22,4,1,5,Artillery level 3 - L,Plague Projectiles,,,,,63,,,,,40,5,0,0,0,0,0,3,1,1,1,1,1,1,3,,40,5,0,0,0,0
Naga Witch,66,3,2,6,Spell-Caster - P,Spell: Terror,Spell: Curse,Tough - L,Extra Lives x2 - L,,117,,,,,10,6,5,24,20,0,0,6,1,1,1,1,3,1,18,,10,6,5,24,0,0
Lizardman General,30,3,3,7,"General – P, R1",,,,,,69,,,,,12,0,0,0,0,0,0,7,1,1,1,1,1,1,7,,12,0,0,0,0,0
Komodo Dragons,22,4,2,6,Resilient - L,Animal,Ambushers - L,,,,44,,,,,12,-2,3,0,0,0,0,6,1,1,1,1,1,1,6,,12,-2,3,0,0,0
Lizardmen crossbows,15,4,1,5,Shooters 2 - L,,,,,,38,,,,,16,0,0,0,0,0,0,3,1,1,1,1,1,1,3,,16,0,0,0,0,0
Lizardmen Elite Macemen,20,4,2,6,Drilled - L,,,,,,40,,,,,8,0,0,0,0,0,0,6,1,1,1,1,1,1,6,,8,0,0,0,0,0
Lizardmen Armored Infantry,26,4,2,7,Slow,Drilled - L,Savage - L,,,,51,,,,,-1,8,9,0,0,0,0,7,1,1,1,1,1,1,7,,-1,8,9,0,0,0
Lizardman Champion,23,3,2,7,Champion - P,,,,,,54,,,,,4,0,0,0,0,0,0,7,1,1,1,1,1,1,7,,4,0,0,0,0,0
Lizardman Desert Raider,18,4,2,6,Desert-Walk,,,,,,36,,,,,3,0,0,0,0,0,0,6,1,1,1,1,1,1,6,,3,0,0,0,0,0
Lizardmam Desert Guide,#N/A,3,3,7,Desert-Walk,Ranger -P,,,,,64,,,,,3,5,0,0,0,0,0,7,1,#N/A,1,1,1,1,#N/A,,3,#N/A,0,0,0,0
Pteranodon Air Cavalry,64,3,2,8,Flying - L,Shooters 1 - L,Extra Lives x2 - L,,,,109,,,,,18,10,20,0,0,0,0,8,1,1,3,1,1,1,24,,18,10,0,0,0,0
Lizardman Discipline Master,25,3,2,7,"Discipline Master -P, R1",,,,,,59,,,,,8,0,0,0,0,0,0,7,1,1,1,1,1,1,7,,8,0,0,0,0,0
Lizardman Warband,0,4,2,6,Desert-Walk,warband,,,,,39,,,,,3,4,0,0,0,0,0,6,1,,1,1,1,1,0,,3,4,0,0,0,0
Lizardman Veteran Warband,0,4,2,6,Desert-Walk,warband,Drilled - L,,,,46,,,,,3,4,8,0,0,0,0,6,1,,1,1,1,1,0,,3,4,8,0,0,0
Lizardman Jungle Fighters,0,4,2,6,Forester,warband,Poison/Venom - L,,,,48,,,,,5,4,8,0,0,0,0,6,1,,1,1,1,1,0,,5,4,8,0,0,0
Lizardman Emerald Skins,0,4,2,6,Desert-Walk,warband,Resilient - L,,,,49,,,,,3,4,12,0,0,0,0,6,1,,1,1,1,1,0,,3,4,12,0,0,0
Lizardman Jungle Ambushers,31,4,2,6,Forester,Ambushers - L,Poison/Venom - L,Shooters 0 - L,Poisoned Missiles L,,54,,,,,5,3,8,5,4,0,0,6,1,1,1,1,"1,5",1,9,,5,3,8,5,0,0
Turtlemen Mercenaries,15,4,1,8,Amphibious,Slow,Reluctant,,,,38,,,,,3,-1,-2,0,0,0,0,8,1,1,1,1,1,1,8,,3,-1,-2,0,0,0
Turtlemen Bodyguards,23,4,2,8,Amphibious,Slow,Bodyguards - L,,,,48,,,,,3,-1,5,0,0,0,0,8,1,1,1,1,1,1,8,,3,-1,5,0,0,0
Lizardmen Rabble Shooters,9,4,1,5,Shooters 1 - L,Poisoned Missiles L,Rabble,,,,25,,,,,10,4,-14,0,0,0,0,3,1,"1,5",1,1,1,1,"4,5",,10,0,-14,0,0,0
Thunder Lizards,0,4,4,9,"Monster Level 3 - L, R3",Extra Lives x4 - P,Unpredictable,,,,170,,,,,60,80,-1,0,0,0,0,9,1,1,,1,1,1,0,,60,80,-1,0,0,0
Raptors,23,4,2,6,Fast,Animal,Devastating Charge - L,Forester,,,45,,,,,4,-2,7,5,0,0,0,6,1,1,1,1,1,1,6,,4,-2,7,5,0,0
Lizardman Raptor Handler,29,3,2,7,Beast Lord - P,Fast,Forester,,,,68,,,,,7,4,5,0,0,0,0,7,1,1,1,1,1,1,7,,7,4,5,0,0,0
Lizardman Jungle Shaman,50,3,1,6,Spell-Caster - P,Extra Lives x2 - L,Forester,Spell: Alter Terrain,Spell: Armor,,89,,,,,10,20,5,5,5,0,0,6,1,3,1,1,1,1,18,,10,0,5,5,5,0
Lizardman Priestess of Ssikliss,,3,2,6,Spell-Caster - P,High Priest - P,Spell: Bolster,Spell: Chaos,Spell: Lightning Bolt,Spell: Destroy Constructs,90,,,,,10,9,6,8,6,2,0,0,1,1,1,1,0,0,0,0,0,0,,,,
Lizardman Assassin,,3,2,6,Stealth - P,"Assassin Level 2 - P, R3",Forester,Poison/Venom - L,,,78,,,,,3,14,5,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,
Lizardman Siege Tower,,4,3,7,Siege Engine Level 1 - L,Forester,Tough - L,Extra Lives x2 - L,,,88,,,,,7,5,24,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,
Lizardman Light Chariot,28,4,3,6,Chariot level 2 - L,Shooters 0 - L,Resilient - L,Desert-Walk,,,58,,,,,4,5,12,3,0,0,0,6,1,1,1,1,1,1,6,,4,5,12,3,0,0
Thunder Lizard Heavy Chariot,#N/A,4,3,8,"Chariot level 5 – L, R3",Shooters 0 - L,Tough - L,Trample - L,Extra Lives x2 - L,,104,,,,,14,5,24,7,20,0,0,8,#N/A,1,1,1,3,1,#N/A,,#N/A,5,24,7,0,0
Lizardman Poison Cannon,,3,1,6,Artillery level 3 - L,Plague Projectiles,Resilient - L,,,,102,,,,,40,5,12,0,0,0,0,0,0,0,0,,,,,,,,,,,
Lizardman Ballista,,4,3,7,Artillery level 2 – L,,,,,,58,,,,,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,
TROLLS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesser Troll,#DIV/0!,5,1,6,Shooters 0 - L,,,,,,22,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Troll,#DIV/0!,4,2,6,Resilient - L,,,,,,43,,,,,12,0,0,0,0,0,,6,1,1,1,1,1,1,6,,12,0,0,0,0,0
Great Troll,#DIV/0!,4,3,6,,Tough - L,Fearless,,,,62,,,,,0,24,5,0,0,0,,6,1,1,1,1,1,1,6,,0,24,5,0,0,0
Trollkin,#DIV/0!,4,2,6,Horde,,,,,,34,,,,,1,0,0,0,0,0,,6,1,1,1,1,1,1,6,,1,0,0,0,0,0
Troll Shaman,17,4,1,5,Spell-Caster - P,Spell: Alter Terrain,Spell: Meteor Storm,Spell: Windstorm,,,44,,,,,10,5,4,4,0,0,,3,1,1,1,1,1,1,3,,10,5,4,4,0,0
Troll Archers,16,4,1,6,Shooters 0 - L,,,,,,33,,,,,5,0,0,0,0,0,,6,1,1,1,1,1,1,6,,5,0,0,0,0,0
Stone Trolls,29,4,2,7,Slow,Mountaineer,Tough - L,,,,59,,,,,-1,3,24,0,0,0,,7,1,1,1,1,1,1,7,,-1,3,24,0,0,0
Forest trolls,24,4,2,6,Forester,Resilient - L,,,,,48,,,,,5,12,0,0,0,0,,6,1,1,1,1,1,1,6,,5,12,0,0,0,0
River trolls,23,4,2,6,Amphibious,Resilient - L,,,,,46,,,,,3,12,0,0,0,0,,6,1,1,1,1,1,1,6,,3,12,0,0,0,0
Green Trolls,50,4,2,7,Tough - L,Extra Lives x2 - L,,,,,74,,,,,24,20,0,0,0,0,,7,1,3,1,1,1,1,21,,24,0,0,0,0,0
Blue Troll Scouts,26,3,2,6,Savage - L,Scout - R4,,,,,60,,,,,9,5,0,0,0,0,,6,1,1,1,1,1,1,6,,9,5,0,0,0,0
Dark Trolls,0,4,3,6,Pikes,Unreliable,,,,,41,,,,,6,-2,0,0,0,0,,6,1,,1,1,1,1,0,,6,-2,0,0,0,0
Trollwolves,34,4,2,6,Animal,Fast,Forester,Extra Lives x2 - L,,,56,,,,,-2,4,5,20,0,0,,6,1,1,1,3,1,1,18,,-2,4,5,0,0,0
Trollcats,0,4,1,5,Animal,Difficult Target,Forester,Unreliable,,,30,,,,,-2,5,5,-2,0,0,,3,1,1,1,,1,1,0,,-2,5,5,-2,0,0
Young Troll Javelineers,17,4,1,5,Shooters 0 - L,Skirmishers,Resilient - L,,,,43,,,,,5,5,12,0,0,0,,3,1,1,1,1,1,1,3,,5,5,12,0,0,0
